timestamp, frame, x, y, z, qx, qy, qz, qw
20191.213332291, 000000, 0.13203426, -0.3429374, 0.24988285, 0.8679478, 0.14292525, -0.2901175, 0.37692267
20191.230001416, 000001, 0.13221137, -0.34256065, 0.25011405, 0.8680758, 0.1428147, -0.28992367, 0.37681907
20191.246670416, 000002, 0.13230205, -0.34246364, 0.25013974, 0.8682027, 0.14307661, -0.28929102, 0.37691346
20191.263339458, 000003, 0.13236165, -0.34257114, 0.249995, 0.8683699, 0.14349027, -0.28838104, 0.37706825
20191.280008541, 000004, 0.13247299, -0.34266323, 0.2498124, 0.86851, 0.14368246, -0.28761363, 0.3772585
20191.296677541, 000005, 0.13265607, -0.34263897, 0.24963218, 0.8683866, 0.1433259, -0.2874718, 0.37778598
20191.313346666, 000006, 0.13280798, -0.3426546, 0.24937925, 0.86799085, 0.14283176, -0.28748614, 0.3788702
20191.330015708, 000007, 0.13282426, -0.34289885, 0.24903323, 0.86764, 0.14293937, -0.28675768, 0.38018307
20191.346684791, 000008, 0.13277724, -0.34330854, 0.24863304, 0.8675409, 0.14371313, -0.2851809, 0.38130185
20191.363353875, 000009, 0.13242498, -0.34337515, 0.24813768, 0.86751264, 0.14428863, -0.28382683, 0.38215816
20191.380023041, 000010, 0.13244462, -0.34333116, 0.24799222, 0.867646, 0.14422384, -0.28332728, 0.38225055
20191.396691916, 000011, 0.13266578, -0.343088, 0.24812931, 0.8679762, 0.1435668, -0.28360152, 0.38154426
20191.413361041, 000012, 0.13298716, -0.34269947, 0.24841708, 0.86833787, 0.14259422, -0.28440267, 0.38048813
20191.430030125, 000013, 0.1333177, -0.34229183, 0.2487337, 0.8686522, 0.14167432, -0.28527594, 0.37945917
20191.44669925, 000014, 0.13360421, -0.34198308, 0.24903992, 0.868973, 0.14108184, -0.28591, 0.37846687
20191.463368333, 000015, 0.13400787, -0.34193823, 0.24929693, 0.8693095, 0.14098549, -0.28626248, 0.37746245
20191.48003725, 000016, 0.1342946, -0.34192896, 0.24954417, 0.86961025, 0.14114147, -0.28646347, 0.37655765
20191.496706333, 000017, 0.13448304, -0.34188125, 0.24977253, 0.8697937, 0.14125511, -0.28674713, 0.3758747
20191.513375416, 000018, 0.13461547, -0.34182206, 0.24995308, 0.8699156, 0.14129324, -0.28702906, 0.37536287
20191.5467135, 000019, 0.13477875, -0.3416968, 0.25010222, 0.8699673, 0.14111596, -0.2874404, 0.37499502
20191.563382625, 000020, 0.13454002, -0.34161752, 0.24974987, 0.86991173, 0.14092553, -0.2875568, 0.3751061
20191.58005175, 000021, 0.134415, -0.34151936, 0.24951111, 0.8699394, 0.14073488, -0.2875298, 0.37513438
20191.596720791, 000022, 0.13443078, -0.3413646, 0.24941412, 0.8699842, 0.14037573, -0.2876545, 0.3750692
20191.613389958, 000023, 0.1345219, -0.34117803, 0.24937922, 0.8700534, 0.13988148, -0.2879325, 0.37488
20191.630058875, 000024, 0.13465555, -0.34099522, 0.24936444, 0.87009376, 0.13932309, -0.28832874, 0.3746897
20191.646727916, 000025, 0.13479981, -0.34083527, 0.24932441, 0.87005836, 0.13874698, -0.2887574, 0.37465572
20191.663397083, 000026, 0.13499488, -0.34010637, 0.2495063, 0.8699071, 0.13820493, -0.28909853, 0.3749441
20191.680066166, 000027, 0.13516346, -0.3396906, 0.24953106, 0.8697046, 0.1378105, -0.2894094, 0.3753189
20191.696735125, 000028, 0.13531359, -0.33956087, 0.24943599, 0.86954385, 0.13757367, -0.28956977, 0.3756544
20191.713404166, 000029, 0.13547114, -0.33955345, 0.24928926, 0.8694299, 0.13747285, -0.2896052, 0.37592778
20191.730073291, 000030, 0.13564765, -0.33958715, 0.24911487, 0.86932945, 0.13740236, -0.28960478, 0.37618592
20191.746742375, 000031, 0.13584682, -0.339626, 0.24891084, 0.8692286, 0.13732772, -0.28956124, 0.3764797
20191.763411541, 000032, 0.13604236, -0.33961505, 0.24856785, 0.8691414, 0.13724747, -0.2895175, 0.37674382
20191.780080375, 000033, 0.13628376, -0.33960104, 0.24829721, 0.86908746, 0.13712634, -0.2894757, 0.37694433
20191.796749541, 000034, 0.1365871, -0.33958435, 0.24807727, 0.86912566, 0.1369549, -0.28939313, 0.37698203
20191.813418666, 000035, 0.1369559, -0.33956096, 0.24786401, 0.8692767, 0.13673009, -0.28926814, 0.37681136
20191.830087708, 000036, 0.1373969, -0.33954096, 0.24763978, 0.86951107, 0.13644992, -0.2891225, 0.3764838
20191.846756625, 000037, 0.13790362, -0.33954746, 0.24737793, 0.86974275, 0.1361623, -0.28896844, 0.3761709
20191.86342575, 000038, 0.1386983, -0.33948368, 0.24678317, 0.8698295, 0.13588431, -0.28896904, 0.37607035
20191.880094875, 000039, 0.1393924, -0.33949727, 0.24618232, 0.8698794, 0.13557573, -0.2887601, 0.37622666
20191.896764, 000040, 0.14000928, -0.33957547, 0.24553922, 0.8699408, 0.13525335, -0.28829008, 0.37656105
20191.913433125, 000041, 0.1406072, -0.3396794, 0.24481821, 0.87005854, 0.13495006, -0.28759748, 0.37692738
20191.930102041, 000042, 0.14125298, -0.33976483, 0.24405067, 0.8702831, 0.13459824, -0.28681886, 0.37712786
20191.946771125, 000043, 0.14199479, -0.33980405, 0.24327415, 0.87058735, 0.1341339, -0.28614047, 0.37710655
20191.96344025, 000044, 0.14310971, -0.33975977, 0.24279106, 0.87094396, 0.13367885, -0.28560224, 0.37685263
20191.980109333, 000045, 0.14417133, -0.33971933, 0.24216029, 0.87126714, 0.1332655, -0.2851407, 0.37660143
20191.99677825, 000046, 0.1451996, -0.33969352, 0.24140212, 0.87157893, 0.13292252, -0.28465825, 0.37636596
20192.013447416, 000047, 0.14624418, -0.33965528, 0.24056599, 0.8719172, 0.13262631, -0.2840988, 0.37610972
20192.0301165, 000048, 0.14733067, -0.33958927, 0.23966882, 0.8722884, 0.13233478, -0.28348026, 0.3758182
20192.046785583, 000049, 0.14846681, -0.33949047, 0.2387186, 0.87268627, 0.13200536, -0.2828345, 0.37549675
20192.063454666, 000050, 0.14972949, -0.33932492, 0.23774673, 0.8730369, 0.13167845, -0.28222317, 0.37525642
20192.080123666, 000051, 0.1509766, -0.33917004, 0.23667249, 0.8733153, 0.13127486, -0.28162074, 0.37520263
20192.096792708, 000052, 0.1522216, -0.33902627, 0.23549634, 0.87358594, 0.13086465, -0.28089157, 0.3752624
20192.113461833, 000053, 0.15349708, -0.33884117, 0.23427495, 0.8738619, 0.1303341, -0.28021914, 0.37530714
20192.130131, 000054, 0.15480116, -0.3386053, 0.23303169, 0.87415785, 0.12968588, -0.27963406, 0.37527892
20192.146799916, 000055, 0.15611541, -0.33835593, 0.23176733, 0.87450194, 0.12906894, -0.27898818, 0.3751706
20192.163469041, 000056, 0.1577089, -0.33806187, 0.23011583, 0.874864, 0.12851475, -0.2784297, 0.37493172
20192.180138125, 000057, 0.15915605, -0.3377197, 0.22866434, 0.87522584, 0.12793192, -0.27789423, 0.3746836
20192.196807208, 000058, 0.16051963, -0.33734235, 0.22732517, 0.87557036, 0.12737456, -0.27740496, 0.3744312
20192.213476333, 000059, 0.16184583, -0.33692375, 0.22600639, 0.87589407, 0.12682688, -0.2769617, 0.374188
20192.230145291, 000060, 0.16308111, -0.33625817, 0.22426896, 0.87615484, 0.12620273, -0.2766131, 0.37404642
20192.246814375, 000061, 0.16431127, -0.33558956, 0.22259083, 0.8764492, 0.12555666, -0.2762574, 0.37383687
20192.2634835, 000062, 0.16554284, -0.3349469, 0.22104762, 0.8768488, 0.124880254, -0.27581242, 0.3734549
20192.280152541, 000063, 0.16676225, -0.3342625, 0.21951678, 0.8773774, 0.124152794, -0.27525747, 0.37286502
20192.296821541, 000064, 0.16798311, -0.33349, 0.21796417, 0.87802917, 0.1232767, -0.27465454, 0.3720651
20192.313490666, 000065, 0.16921258, -0.3326222, 0.2163848, 0.8787691, 0.12224654, -0.27404624, 0.3711053
20192.33015975, 000066, 0.17035371, -0.33150476, 0.21462847, 0.879522, 0.12111389, -0.27345708, 0.37012637
20192.346828833, 000067, 0.17152952, -0.33039188, 0.2128812, 0.88023996, 0.119932674, -0.27297205, 0.36916113
20192.363497958, 000068, 0.17272912, -0.32931188, 0.21113823, 0.88095456, 0.118774764, -0.27248245, 0.36819145
20192.380166916, 000069, 0.17393184, -0.32821634, 0.20935261, 0.8816529, 0.11761271, -0.27198702, 0.36725798
20192.396836, 000070, 0.17513631, -0.32706988, 0.20752838, 0.8823176, 0.11636139, -0.27155164, 0.36638132
20192.413505125, 000071, 0.17634106, -0.32588345, 0.20568702, 0.88296854, 0.115085304, -0.27117726, 0.3654924
20192.430174208, 000072, 0.1775379, -0.32465842, 0.20381999, 0.88357407, 0.113766804, -0.27088583, 0.3646571
20192.446843166, 000073, 0.17869973, -0.32338363, 0.2018951, 0.8840873, 0.112423554, -0.27060598, 0.36403686
20192.463512291, 000074, 0.17991838, -0.32189828, 0.20003474, 0.8845753, 0.11112598, -0.27024874, 0.36351493
20192.480181375, 000075, 0.18109888, -0.32044834, 0.19812824, 0.8851702, 0.1098775, -0.26983288, 0.36275437
20192.4968505, 000076, 0.18229231, -0.31895304, 0.19627464, 0.8858816, 0.10855709, -0.2695819, 0.36160007
20192.513519625, 000077, 0.18349469, -0.31738126, 0.19448438, 0.88665, 0.10717035, -0.26954117, 0.36015806
20192.530188541, 000078, 0.18467958, -0.31575632, 0.19270566, 0.8874795, 0.105786644, -0.26955414, 0.3585106
20192.546857666, 000079, 0.18580613, -0.3141434, 0.19089544, 0.88838464, 0.104537316, -0.26938516, 0.35675785
20192.56352675, 000080, 0.18674837, -0.3127572, 0.18880965, 0.8893586, 0.10346187, -0.26900744, 0.35492516
20192.580195916, 000081, 0.18768694, -0.31133837, 0.18685704, 0.89032805, 0.10266624, -0.26844049, 0.3531504
20192.596864791, 000082, 0.18858752, -0.30995154, 0.18490206, 0.8912218, 0.102030255, -0.2677879, 0.35157225
20192.613533958, 000083, 0.18944567, -0.3085956, 0.18289009, 0.8919765, 0.10145484, -0.26716653, 0.35029528
20192.630203041, 000084, 0.19028454, -0.30697772, 0.18096744, 0.8925583, 0.100943014, -0.26659432, 0.34939614
20192.646872125, 000085, 0.19102305, -0.30550626, 0.17899525, 0.8930785, 0.1006708, -0.26596928, 0.3486208
20192.663541291, 000086, 0.19170393, -0.30420458, 0.17699873, 0.8936006, 0.100512, -0.26536557, 0.34778777
20192.680210208, 000087, 0.19238038, -0.30291528, 0.1750553, 0.89413935, 0.100308746, -0.26492885, 0.34679323
20192.696879291, 000088, 0.19304734, -0.30158004, 0.17318651, 0.89470756, 0.10004286, -0.2646267, 0.34563348
20192.713548416, 000089, 0.1936672, -0.30018237, 0.17137562, 0.89524895, 0.099707074, -0.2644189, 0.34448555
20192.730217541, 000090, 0.19421116, -0.29873902, 0.16957708, 0.8956973, 0.09938934, -0.26426065, 0.34353212
20192.7468865, 000091, 0.1946508, -0.29728094, 0.16771537, 0.8960877, 0.09914133, -0.26388374, 0.3428748
20192.763555583, 000092, 0.19482708, -0.2954018, 0.16597967, 0.8964247, 0.09909454, -0.26320097, 0.34253207
20192.780224708, 000093, 0.19495624, -0.29372537, 0.16411495, 0.8967844, 0.099195756, -0.26222453, 0.34231004
20192.796893833, 000094, 0.19503906, -0.29207674, 0.16226217, 0.89715886, 0.099332675, -0.2611877, 0.34208143
20192.813562833, 000095, 0.19508505, -0.2903479, 0.16049147, 0.89751196, 0.09943274, -0.26024, 0.34184858
20192.830231875, 000096, 0.19513427, -0.2884624, 0.15885738, 0.89783615, 0.09943361, -0.25953346, 0.34153408
20192.846900958, 000097, 0.19524789, -0.2864357, 0.15743934, 0.8982588, 0.099203326, -0.25919646, 0.34074473
20192.86357, 000098, 0.19544758, -0.28408757, 0.15625928, 0.8987973, 0.09860599, -0.25928983, 0.3394244
20192.880239208, 000099, 0.1957028, -0.28149426, 0.15527609, 0.8994189, 0.09768327, -0.25974286, 0.33769414
20192.896908166, 000100, 0.19596583, -0.27875766, 0.15442102, 0.9000849, 0.09659589, -0.26034722, 0.3357612
20192.91357725, 000101, 0.19618352, -0.2759759, 0.15365076, 0.90081966, 0.09557684, -0.2608556, 0.33368134
20192.930246375, 000102, 0.19634634, -0.2731868, 0.15294047, 0.9016098, 0.09467441, -0.26124126, 0.33149588
20192.946915416, 000103, 0.19643255, -0.27045405, 0.15226154, 0.9024281, 0.094000645, -0.26140624, 0.32932377
20192.963584458, 000104, 0.19617489, -0.2675199, 0.15184487, 0.90322137, 0.093540505, -0.26122475, 0.32741842
20192.980253541, 000105, 0.19599946, -0.26492986, 0.15125112, 0.90396017, 0.09349085, -0.26088777, 0.32565778
20192.996922625, 000106, 0.19580334, -0.2625465, 0.15056711, 0.90469915, 0.093820885, -0.26024225, 0.32402304
20193.013591708, 000107, 0.19558619, -0.2602827, 0.14984752, 0.90549797, 0.094327584, -0.25932962, 0.3223723
20193.030260833, 000108, 0.19534233, -0.25807464, 0.14911187, 0.90627056, 0.09487669, -0.25833768, 0.32083273
20193.046929791, 000109, 0.1950705, -0.2558983, 0.14833242, 0.90690583, 0.09546188, -0.25728443, 0.31970835
20193.063598916, 000110, 0.19461194, -0.25367987, 0.14752336, 0.9075035, 0.09615476, -0.255892, 0.3189214
20193.080268, 000111, 0.19428663, -0.25143373, 0.14670008, 0.9081239, 0.09687255, -0.25429365, 0.31821588
20193.096937083, 000112, 0.19405217, -0.24910027, 0.14591691, 0.90874827, 0.097447746, -0.25273728, 0.3174969
20193.113606083, 000113, 0.19385895, -0.24669908, 0.14515068, 0.90948033, 0.09790673, -0.25099295, 0.3166422
20193.130275208, 000114, 0.19366062, -0.24423179, 0.14439279, 0.9103913, 0.09823013, -0.24888904, 0.3155832
20193.146944291, 000115, 0.19347483, -0.24161121, 0.14368138, 0.9113859, 0.09814511, -0.2468113, 0.31436816
20193.163613416, 000116, 0.1931127, -0.23841932, 0.14304568, 0.9123985, 0.097594984, -0.2448486, 0.31313467
20193.1802825, 000117, 0.19291899, -0.23536588, 0.14235073, 0.91346735, 0.09659896, -0.24293227, 0.3118169
20193.196951458, 000118, 0.19277495, -0.2323945, 0.14164594, 0.914596, 0.09546067, -0.24082938, 0.3104875
20193.213620583, 000119, 0.19263795, -0.22946288, 0.14095369, 0.915809, 0.0942503, -0.2385205, 0.30906102
20193.230289666, 000120, 0.1925207, -0.22652106, 0.14031973, 0.91691625, 0.092842445, -0.23639575, 0.30783406
20193.246958666, 000121, 0.19226044, -0.22358882, 0.13920105, 0.9179397, 0.09121748, -0.23439498, 0.30679783
20193.263627791, 000122, 0.19212776, -0.22065058, 0.1384359, 0.9188808, 0.0894353, -0.23246677, 0.30597144
20193.280296916, 000123, 0.19199112, -0.217813, 0.137826, 0.91980565, 0.087753914, -0.23046568, 0.30519208
20193.296966, 000124, 0.19183479, -0.2151081, 0.13739176, 0.9207276, 0.08630447, -0.22849207, 0.30430833
20193.313635166, 000125, 0.19171828, -0.21246162, 0.13713409, 0.92160606, 0.08481187, -0.22676042, 0.3033626
