epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12584,6.60117,10.4026,4.29224,0,0,0,0,6.68023,7.5406,4.1603,2.858e-05,2.858e-05,2.858e-05
2,9.29791,6.6192,11.4049,4.28048,0,0,0,0,6.68063,7.54473,4.16146,7.12142e-05,7.12142e-05,7.12142e-05
3,14.1355,6.65278,11.0189,4.20852,0,0,0,0,6.68103,7.55333,4.16272,0.000113565,0.000113565,0.000113565
4,19.0501,6.36424,8.08486,4.23211,0,0,0,0,6.6813,7.55807,4.1636,0.000155634,0.000155634,0.000155634
5,23.6977,5.2267,11.4398,3.33953,0,0,0,0,6.68193,7.57016,4.16577,0.000197419,0.000197419,0.000197419
