epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87075,6.60117,10.4026,4.29224,0,0,0,0,6.68023,7.5406,4.1603,2.858e-05,2.858e-05,2.858e-05
2,8.02513,6.6192,11.4049,4.28048,0,0,0,0,6.68063,7.54473,4.16146,7.12142e-05,7.12142e-05,7.12142e-05
3,12.3117,6.65278,11.0189,4.20852,0,0,0,0,6.68103,7.55333,4.16272,0.000113565,0.000113565,0.000113565
4,16.5569,6.36424,8.08486,4.23211,0,0,0,0,6.6813,7.55807,4.1636,0.000155634,0.000155634,0.000155634
5,21.3359,5.2267,11.4398,3.33953,0,0,0,0,6.68193,7.57016,4.16577,0.000197419,0.000197419,0.000197419
6,25.8436,6.36633,7.99024,4.14849,0,0,0,0,6.68224,7.57603,4.1669,0.000238922,0.000238922,0.000238922
7,29.9717,6.65613,9.3774,4.19192,0,0,0,0,6.68249,7.57701,4.16786,0.000280141,0.000280141,0.000280141
8,34.0316,6.45622,10.3773,4.0756,0,0,0,0,6.68302,7.58116,4.16972,0.000321078,0.000321078,0.000321078
9,38.2223,6.65357,9.43746,4.00791,0,0,0,0,6.68363,7.58341,4.17183,0.000361731,0.000361731,0.000361731
10,41.998,6.51474,9.44494,3.93202,0,0,0,0,6.68432,7.58026,4.17423,0.000402102,0.000402102,0.000402102
11,45.4772,4.86339,10.9596,2.94148,0,0,0,0,6.68517,7.57132,4.17719,0.00044219,0.00044219,0.00044219
12,48.9809,6.58871,10.7661,3.81904,0,0,0,0,6.68672,7.55226,4.18265,0.000481995,0.000481995,0.000481995
13,52.4744,6.0723,7.95427,3.71041,0,0,0,0,6.68901,7.51878,4.19086,0.000521516,0.000521516,0.000521516
