epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,217.921,4.21773,3.70493,2.81939,0.00599,0.26667,0.01877,0.0035,4.04611,3.62223,2.82568,0.00120265,0.00120265,0.00120265
50,222.314,4.42686,3.84594,2.7359,0.33744,0.06667,0.00962,0.00243,4.16796,4.03017,2.86157,0.00119793,0.00119793,0.00119793
51,227.14,4.232,3.8725,2.53411,0.33744,0.06667,0.00962,0.00243,4.16796,4.03017,2.86157,0.00119322,0.00119322,0.00119322
52,231.621,4.20211,3.58838,2.68807,0.33744,0.06667,0.00962,0.00243,4.16796,4.03017,2.86157,0.0011885,0.0011885,0.0011885
53,238.513,3.98957,3.84148,2.60085,0.33744,0.06667,0.00962,0.00243,4.16796,4.03017,2.86157,0.00118378,0.00118378,0.00118378
54,243.14,3.81489,3.72986,2.66493,0.00444,0.1,0.02827,0.00669,4.13719,3.54964,2.73579,0.00117907,0.00117907,0.00117907
55,247.689,3.86892,3.80601,2.5557,0.00444,0.1,0.02827,0.00669,4.13719,3.54964,2.73579,0.00117435,0.00117435,0.00117435
56,252.161,4.14965,3.4657,2.56328,0.00444,0.1,0.02827,0.00669,4.13719,3.54964,2.73579,0.00116964,0.00116964,0.00116964
57,257.101,4.04624,3.5264,2.63748,0.00444,0.1,0.02827,0.00669,4.13719,3.54964,2.73579,0.00116492,0.00116492,0.00116492
58,262.231,4.08127,3.68927,2.46534,0.00507,0.26667,0.04382,0.00563,4.00784,4.0721,2.70909,0.00116021,0.00116021,0.00116021
59,267.154,3.82474,3.32937,2.56919,0.00507,0.26667,0.04382,0.00563,4.00784,4.0721,2.70909,0.00115549,0.00115549,0.00115549
60,271.875,3.78767,3.39385,2.5479,0.00507,0.26667,0.04382,0.00563,4.00784,4.0721,2.70909,0.00115077,0.00115077,0.00115077
61,276.367,3.88852,3.65204,2.51487,0.00507,0.26667,0.04382,0.00563,4.00784,4.0721,2.70909,0.00114606,0.00114606,0.00114606
62,280.713,4.00995,3.556,2.29867,0.00449,0.23333,0.01517,0.00202,3.78393,4.29017,2.64426,0.00114134,0.00114134,0.00114134
63,285.454,3.72289,3.5484,2.46123,0.00449,0.23333,0.01517,0.00202,3.78393,4.29017,2.64426,0.00113663,0.00113663,0.00113663
64,289.849,3.98423,3.58239,2.30479,0.00449,0.23333,0.01517,0.00202,3.78393,4.29017,2.64426,0.00113191,0.00113191,0.00113191
65,294.146,3.6978,3.41821,2.31347,0.00449,0.23333,0.01517,0.00202,3.78393,4.29017,2.64426,0.0011272,0.0011272,0.0011272
66,299.153,3.69848,3.20672,2.34197,0.08064,0.26667,0.09881,0.02587,3.73338,3.35848,2.46757,0.00112248,0.00112248,0.00112248
67,303.61,3.89656,3.14095,2.18915,0.08064,0.26667,0.09881,0.02587,3.73338,3.35848,2.46757,0.00111776,0.00111776,0.00111776
68,308.901,3.9612,3.49761,2.41941,0.08064,0.26667,0.09881,0.02587,3.73338,3.35848,2.46757,0.00111305,0.00111305,0.00111305
69,314.034,3.90177,3.20791,2.40658,0.08064,0.26667,0.09881,0.02587,3.73338,3.35848,2.46757,0.00110833,0.00110833,0.00110833
70,319.333,3.73225,3.12075,2.51008,0.15209,0.1,0.11568,0.04454,3.96666,3.04573,2.50063,0.00110362,0.00110362,0.00110362
71,324.051,3.73635,2.82461,2.33609,0.15209,0.1,0.11568,0.04454,3.96666,3.04573,2.50063,0.0010989,0.0010989,0.0010989
72,328.399,3.84772,3.05784,2.19717,0.15209,0.1,0.11568,0.04454,3.96666,3.04573,2.50063,0.00109419,0.00109419,0.00109419
73,332.784,3.73638,2.96391,2.29523,0.15209,0.1,0.11568,0.04454,3.96666,3.04573,2.50063,0.00108947,0.00108947,0.00108947
74,337.108,3.61815,3.06326,2.20048,0.08465,0.16667,0.0955,0.03802,3.92913,3.20123,2.49634,0.00108475,0.00108475,0.00108475
75,341.214,3.71172,2.88544,2.03997,0.08465,0.16667,0.0955,0.03802,3.92913,3.20123,2.49634,0.00108004,0.00108004,0.00108004
76,345.423,3.49131,3.0712,2.10313,0.08465,0.16667,0.0955,0.03802,3.92913,3.20123,2.49634,0.00107532,0.00107532,0.00107532
77,349.519,3.81596,3.24051,2.2656,0.08465,0.16667,0.0955,0.03802,3.92913,3.20123,2.49634,0.00107061,0.00107061,0.00107061
78,353.604,3.43488,2.80826,2.19418,0.16006,0.2,0.11066,0.0406,3.76667,3.15325,2.41559,0.00106589,0.00106589,0.00106589
79,357.802,3.63,2.88902,2.09992,0.16006,0.2,0.11066,0.0406,3.76667,3.15325,2.41559,0.00106118,0.00106118,0.00106118
