epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,256.676,3.77313,2.93294,2.16482,0,0,0,0,6.75801,7.27065,4.48366,0.00118595,0.00118595,0.00118595
51,261.988,3.65214,3.04148,1.97732,0,0,0,0,6.759,7.35648,4.48567,0.00119322,0.00119322,0.00119322
52,267.439,3.69688,2.8864,2.09408,0,0,0,0,6.759,7.35648,4.48567,0.0011885,0.0011885,0.0011885
53,272.69,3.52958,2.78361,2.00725,0,0,0,0,6.759,7.35648,4.48567,0.00118378,0.00118378,0.00118378
54,277.862,3.08299,2.85299,2.05454,0,0,0,0,6.74994,7.28916,4.44311,0.00117907,0.00117907,0.00117907
55,283.133,3.09865,2.8641,1.98443,0,0,0,0,6.74994,7.28916,4.44311,0.00117435,0.00117435,0.00117435
56,288.808,3.3756,3.18036,2.29937,0,0,0,0,6.73438,7.16447,4.38333,0.00116964,0.00116964,0.00116964
57,294.59,2.84404,2.84518,2.19937,0,0,0,0,6.73438,7.16447,4.38333,0.00116492,0.00116492,0.00116492
58,299.374,3.1225,2.60535,1.94072,0,0,0,0,6.73438,7.16447,4.38333,0.00116021,0.00116021,0.00116021
59,304.38,2.99413,2.68526,2.03405,0,0,0,0,6.71257,6.98443,4.31169,0.00115549,0.00115549,0.00115549
60,309.25,2.72525,2.38096,1.95165,0,0,0,0,6.71257,6.98443,4.31169,0.00115077,0.00115077,0.00115077
61,314.115,3.02391,3.16493,2.30494,0,0,0,0,6.68681,6.82946,4.23294,0.00114606,0.00114606,0.00114606
62,319.243,2.99028,2.43865,1.75948,0,0,0,0,6.68681,6.82946,4.23294,0.00114134,0.00114134,0.00114134
63,323.935,2.88229,2.65761,1.82965,0,0,0,0,6.68681,6.82946,4.23294,0.00113663,0.00113663,0.00113663
64,329.01,3.0018,4.15903,1.86424,0,0,0,0,6.35525,5.99485,3.66854,0.00113191,0.00113191,0.00113191
65,334.954,2.82713,2.36287,1.74192,0,0,0,0,6.35525,5.99485,3.66854,0.0011272,0.0011272,0.0011272
66,341.647,2.75313,2.39486,1.77601,0,0,0,0,5.58278,5.22812,3.16477,0.00112248,0.00112248,0.00112248
67,346.873,2.55675,2.29509,1.69146,0,0,0,0,5.58278,5.22812,3.16477,0.00111776,0.00111776,0.00111776
68,351.811,3.26925,2.62783,1.76435,0,0,0,0,5.58278,5.22812,3.16477,0.00111305,0.00111305,0.00111305
69,356.815,2.60089,2.40027,1.76707,0,0,0,0,5.56758,4.94808,3.11251,0.00110833,0.00110833,0.00110833
70,361.811,2.77756,2.43957,2.03591,0,0,0,0,5.56758,4.94808,3.11251,0.00110362,0.00110362,0.00110362
71,367.215,2.77117,2.24946,1.76694,0,0,0,0,5.61441,4.98782,3.14683,0.0010989,0.0010989,0.0010989
72,372.331,2.6513,2.29932,1.74826,0,0,0,0,5.61441,4.98782,3.14683,0.00109419,0.00109419,0.00109419
73,377.494,2.80164,2.32347,1.83923,0,0,0,0,5.61441,4.98782,3.14683,0.00108947,0.00108947,0.00108947
74,382.786,2.46568,2.32455,1.59535,0,0,0,0,5.39126,4.96882,2.98211,0.00108475,0.00108475,0.00108475
75,388.229,2.79676,2.25688,1.59057,0,0,0,0,5.39126,4.96882,2.98211,0.00108004,0.00108004,0.00108004
76,393.506,2.4597,2.23809,1.58423,0.00175,0.1,0.00272,0.00043,4.37128,4.65529,2.53926,0.00107532,0.00107532,0.00107532
77,398.676,2.77075,2.32399,1.54954,0.00175,0.1,0.00272,0.00043,4.37128,4.65529,2.53926,0.00107061,0.00107061,0.00107061
78,403.605,2.63128,2.35882,1.86998,0.00175,0.1,0.00272,0.00043,4.37128,4.65529,2.53926,0.00106589,0.00106589,0.00106589
79,408.39,2.8908,2.27014,1.61531,0.00296,0.2,0.04163,0.00948,3.56314,4.12829,2.25971,0.00106118,0.00106118,0.00106118
80,413.353,2.46766,2.13948,1.55446,0.00296,0.2,0.04163,0.00948,3.56314,4.12829,2.25971,0.00105646,0.00105646,0.00105646
81,418.271,2.50545,2.34581,1.53556,0.00741,0.46667,0.07464,0.02891,3.20759,3.54223,2.12811,0.00105174,0.00105174,0.00105174
82,423.238,2.15351,2.1691,1.71142,0.00741,0.46667,0.07464,0.02891,3.20759,3.54223,2.12811,0.00104703,0.00104703,0.00104703
83,428.739,2.44532,2.1552,1.43147,0.00741,0.46667,0.07464,0.02891,3.20759,3.54223,2.12811,0.00104231,0.00104231,0.00104231
84,433.347,2.27475,2.01541,1.6416,0.00849,0.5,0.20742,0.07249,3.36768,3.09638,2.14551,0.0010376,0.0010376,0.0010376
85,438.164,2.32661,2.12795,1.55328,0.00849,0.5,0.20742,0.07249,3.36768,3.09638,2.14551,0.00103288,0.00103288,0.00103288
86,443.289,2.20496,2.10085,1.58547,0.16207,0.4,0.25907,0.07386,3.25817,2.88952,2.05322,0.00102817,0.00102817,0.00102817
87,448.719,2.27329,1.93635,1.50604,0.16207,0.4,0.25907,0.07386,3.25817,2.88952,2.05322,0.00102345,0.00102345,0.00102345
88,453.705,2.36876,2.10513,1.46859,0.16207,0.4,0.25907,0.07386,3.25817,2.88952,2.05322,0.00101873,0.00101873,0.00101873
89,459.138,2.24704,2.06465,1.50783,0.56036,0.36667,0.55909,0.16269,2.61819,2.60132,1.85625,0.00101402,0.00101402,0.00101402
90,464.161,2.26,2.05766,1.47725,0.56036,0.36667,0.55909,0.16269,2.61819,2.60132,1.85625,0.0010093,0.0010093,0.0010093
91,469.054,2.24506,1.92142,1.55846,0.43293,0.43505,0.61682,0.26793,2.17634,2.35248,1.73429,0.00100459,0.00100459,0.00100459
92,474.29,2.0708,2.35675,1.57166,0.43293,0.43505,0.61682,0.26793,2.17634,2.35248,1.73429,0.000999871,0.000999871,0.000999871
93,479.42,2.45301,2.4791,1.80765,0.43293,0.43505,0.61682,0.26793,2.17634,2.35248,1.73429,0.000995156,0.000995156,0.000995156
94,484.138,2.0823,1.94341,1.50994,0.54834,0.43333,0.67308,0.30881,2.09135,2.3821,1.65405,0.00099044,0.00099044,0.00099044
95,489.179,2.10523,1.97613,1.51895,0.54834,0.43333,0.67308,0.30881,2.09135,2.3821,1.65405,0.000985724,0.000985724,0.000985724
96,494.089,2.64708,2.34604,1.40113,0.51533,0.5,0.72324,0.33989,2.04251,2.29386,1.55961,0.000981008,0.000981008,0.000981008
