epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91442,6.6026,10.0394,4.20414,0,0,0,0,6.68007,7.53864,4.15982,1.429e-05,1.429e-05,1.429e-05
2,11.128,6.56224,11.6052,4.25633,0,0,0,0,6.68034,7.54087,4.1606,4.27285e-05,4.27285e-05,4.27285e-05
3,16.357,6.60404,10.8155,4.18953,0,0,0,0,6.68058,7.5441,4.16132,7.09784e-05,7.09784e-05,7.09784e-05
4,21.7803,6.41053,8.26529,4.22725,0,0,0,0,6.68077,7.54704,4.16191,9.90397e-05,9.90397e-05,9.90397e-05
5,26.9169,6.57736,9.39357,4.20751,0,0,0,0,6.68089,7.55288,4.16237,0.000126912,0.000126912,0.000126912
6,32.4051,6.36639,8.0086,4.1684,0,0,0,0,6.68084,7.55342,4.16234,0.000154596,0.000154596,0.000154596
7,37.8607,6.67832,9.38618,4.18248,0,0,0,0,6.68078,7.55454,4.16228,0.000182092,0.000182092,0.000182092
8,42.9821,6.5999,10.7012,4.14317,0,0,0,0,6.68064,7.55419,4.162,0.000209399,0.000209399,0.000209399
9,47.604,6.60988,8.65142,4.0849,0,0,0,0,6.68036,7.55101,4.1613,0.000236517,0.000236517,0.000236517
10,52.9605,6.74831,12.2059,4.10907,0,0,0,0,6.67998,7.5455,4.1603,0.000263446,0.000263446,0.000263446
11,58.5259,6.6593,17.3072,3.98049,0,0,0,0,6.67953,7.53536,4.15914,0.000290187,0.000290187,0.000290187
12,63.9839,6.87687,14.5869,3.96456,0,0,0,0,6.67903,7.5238,4.1579,0.000316739,0.000316739,0.000316739
13,68.4649,6.4587,8.51923,3.92405,0,0,0,0,6.67854,7.50855,4.15677,0.000343103,0.000343103,0.000343103
14,72.9918,6.57289,8.44817,3.83825,0,0,0,0,6.67822,7.49051,4.15621,0.000369278,0.000369278,0.000369278
15,77.7234,6.30665,7.05682,3.8828,0,0,0,0,6.67804,7.46917,4.15626,0.000395264,0.000395264,0.000395264
16,82.2766,5.95112,5.9871,3.73401,0,0,0,0,6.6779,7.44202,4.15664,0.000421062,0.000421062,0.000421062
17,87.0425,6.19012,7.88083,3.56865,0,0,0,0,6.67802,7.40969,4.15797,0.000446671,0.000446671,0.000446671
18,91.9786,6.19792,6.44888,3.49111,0,0,0,0,6.67802,7.40969,4.15797,0.000472092,0.000472092,0.000472092
